id;Vrsta;Breed;link1;link2;link3;Skupina;Opis;Temperament;MinVisCM;MaxVisCM;MinKG;MaxKG;MinAge;MaxAge;NjegaDlake;Linjanje;RazEnergije;Trening;Vladanje ;Slika
37;Bernski planinski pas;Bernese Mountain Dog;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/BernerSennenhund_Welpe_9_Tibo_vom_Niederlausitzer_Heidepark.jpg/640px-BernerSennenhund_Welpe_9_Tibo_vom_Niederlausitzer_Heidepark.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bovaro_del_Bernese.jpg/640px-Bovaro_del_Bernese.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Bernese-mountain-dog.jpg/640px-Bernese-mountain-dog.jpg;Working group;"Bernski planinski pas je veliki, snažan radnik koji može narasti preko 67 centimetara u ramenima. 
Gusta, svilenkasta i umjereno duga dlaka je trobojna: crna kao ugljen, bijela i boja hrđe. Karakteristične oznake na dlaci i licu su obilježja pasmine i, u kombinaciji s inteligentnim sjajem u tamnim očima, doprinose Bernerovoj auri veličanstvene plemenitosti. 
Otporan pas koji uspijeva u hladnom vremenu, Bernerova pamet i snaga pomogli su mu da obavlja više zadataka istovremeno na farmama i pašnjacima Švicarske. 
Berner se slaže s cijelom obitelji i posebno su nježni s djecom, ali će se često više vezati za jednu sretnu osobu. 
Berner je impozantan, ali ne prijeteći, i održavaju rezervirano dostojanstvo sa strancima. 
Velik, snažan i građen za naporan rad, Berner je također zapanjujuće lijep i blagoslovljen slatkom, privrženom naravi. Berner je općenito mirni, ali uvijek spremni za igru ​​s vlasnikom, kojemu žele ugoditi. ";Dobrodušni, mirni, snažni;58,42;69,85;31,75;52,16;7;10;Četkanje 2-3 puta tjedno;Frequent;Energetičan;Lak za treniranje;Rezerviran s nepoznatima;
38;Bišon Frize;Bichon Frise;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/GizBichon.jpg/640px-GizBichon.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Toby_the_Bichon_Fris%C3%A9.jpg/640px-Toby_the_Bichon_Fris%C3%A9.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Bichon_pup.JPG/640px-Bichon_pup.JPG;Non-Sporting Group;"Standardan bišon bit će visok nešto manje od 30 centimetara u ramenima. 
Slava pasmine je bijela hipoalergena dlaka, plišana i baršunasta na dodir, sa zaobljenom dlakom na glavi koja ističe velike, tamne oči i crnu kožu nosa i usana. 
Bišoni su prilagodljivi pratitelji koji se dobro slažu s drugim psima i djecom. Oprezni i znatiželjni, bišoni su lijepi mali psi čuvari - ali oni su ljubavnici, a ne borci, i djeluju pod pretpostavkom da nema stranaca, samo prijatelji koje još nisu upoznali. Njihovo samopouzdanje i veličina čine ih idealnim gradskim psima. 
Bišoni se lijepo dresiraju i uživaju nastupati za svoje voljene. Konačno, tu je i bezbrižna osobnost bišona koja mami osmijehe i zagrljaje gdje god da krene. 
Mali, ali čvrst i otporan bišon frize spada među najveće svjetske ""pse s osobnošću""";Razigrani, znatiželjni, veseli;24,13;29,21;5,44;8,16;14;15;Specialty/Professional;Infrequent;Redovito vježbanje;Ugodan/Agreeable;Otvoreno;
39;Biewer terijer;Biewer Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Biewer_Yorkshire_Terrier_3.jpg/640px-Biewer_Yorkshire_Terrier_3.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Biewer_Yorkie.jpg/640px-Biewer_Yorkie.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Biewer_Yorkshire_Terrier_-_female_dog.jpg/640px-Biewer_Yorkshire_Terrier_-_female_dog.jpg;Miscellaneous Class;"Biewer terijer, izgovara se kao engleska riječ za dabra te je, poput malih životinja koje grade brane, predan i odan član obitelji i prijatelj svima koje sretnu. Nije neuobičajeno da vas ovaj vedri pas dočeka s osmijehom. 
Iako ne laju stalno, upozorit će vas na društvo. 
Sa snagom većom od života, njihov vedar i djetinjast hirovit stav zabavljat će vas satima. 
Unatoč malom rastu, srčani su i atletski građen, sposobni pratiti najbolje od njih u dugim šetnjama, planinarenjima ili natjecanjima u agility ringu. 
Biewer terijer je elegantan, dugodlaki, trobojni toy terijer čija je jedina svrha u životu voljeti i biti voljen. Zadržavaju šarmantan i hirovit stav do odrasle dobi. Nošenje igračke ili dvije sa sobom nije iznenađujuće.";Inteligentan, odan, zabavan;17,78;27,94;1,81;3,63;16;16;Četkanje 2-3 puta tjedno;;Miran;Željan udovoljiti;Otvoreno;
40;Crnosmeđi gonič rakuna;Black and Tan Coonhound;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Blacktancoon.jpg/640px-Blacktancoon.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Black_And_Tan_Coonhound.jpg/640px-Black_And_Tan_Coonhound.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Black_and_Tan_Coonhound_Puppy%2C_sleeping%2C_age_5_months_old.png/640px-Black_and_Tan_Coonhound_Puppy%2C_sleeping%2C_age_5_months_old.png;Hound group;"Crno-smeđi goniči rakuna imaju nevjerojatno osjetljiv nos, duge, baršunaste uši i slatku narav. 
Ugljenocrna dlaka ima bogate žućkaste naglaske, uključujući prepoznatljive ""sjemenke bundeve"" iznad oštro izražajnih očiju. 
To su veliki, snažni goniči: Mužjak dobre veličine može stajati 67 centimetara u ramenima i pokrivati ​​​​tlo laganim, žustrim koracima. 
Crno-smeđi psi su društveni goniči. Usamljeni Crno-smeđi psi će pjevati serenade susjedstvu glasnom, tužnom ""glazbom"". 
Crno-smeđi psi mogu pratiti korak s najaktivnijom obitelji, ali također mogu satima zauzeti kauč. 
Goniči će biti goniči: Vjeverica u prolazu može u tren oka probuditi nagon za plijenom kod Crno-smeđih pasa, pa su jaka uzica i čvrsta ograda obavezni. Crno-smeđi goniči rakuna mogu biti previše za stil života ponekog vlasnika. 
Veliki, atletski lovci koji rade noću, Crno-smeđi rakunski goniči su prijateljski nastrojeni, opušteni goniči koji vole društvo. Dremaju uz kamin, ali su uporni kada su na tragu lukavog rakuna. 
Ovaj gonič je pravi američki original.";Opušten, bistar, hrabar;58,42;68,58;29,48;49,89;10;12;Tjedno četkanje;Seasonal;Redovito vježbanje;Nezavisan;Prijateljsko;
41;Crni ruski terijer;Black Russian Terrier;https://upload.wikimedia.org/wikipedia/commons/5/59/Black_Russian_Terrier.jpg?20060108100931;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Czarny_terier_rosyjski_64.jpg/963px-Czarny_terier_rosyjski_64.jpg?20060404204350;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/6Tchiorny_Terrier.JPG/1200px-6Tchiorny_Terrier.JPG?20140811215550;Working group;"Koju riječ tražimo? Impozantan? Masivan? Veličanstven? Što kažete na jednostavno ""velik"". 
Ovaj snažni pas čuvar sibirskih stepa može težiti 62 kilograma i biti visok i do 76 centimetara u ramenima. Mnogo su viši kada se uzme u obzir ogromna glava u obliku cigle. 
Razbarušena, potpuno crna dlaka dovoljno je topla da omogući crnim ruskim terijerima da patroliraju nekim od najhladnijih nastanjivih mjesta na Zemlji. Stari izraz ""Dobro se kreće za velikog tipa"" odnosi se na ovog okretnog diva. 
Crni ruski terijer je veliki, izuzetno snažan radnik teških kostiju i grube potpuno crne dlake. 
Crni ruski terijeri poznati su po svojoj hrabrosti, samopouzdanju i inteligenciji. 
Uzgajani za čuvanje i zaštitu, prirodno su rezervirani prema strancima.";Inteligentni, mirni, moćni;66,04;76,2;36,29;58,97;10;12;Dnevno četkanje;Seasonal;Energetičan;Lak za treniranje;Rezerviran s nepoznatima;
42;Bloodhound;Bloodhound;https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Bloodhound_black_and_tan.jpg/640px-Bloodhound_black_and_tan.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bloodhound_black_and_tan_%27blanket%27.jpg/640px-Bloodhound_black_and_tan_%27blanket%27.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Bloodhound_liver_and_tan_%27blanket%27.jpg/640px-Bloodhound_liver_and_tan_%27blanket%27.jpg;Hound group;"Krvosljednici su veliki, krupni psi visoki od 57 do 71 centimetara u ramenima i teški do 54 kilograma. 
Njihove najpoznatije karakteristike su dugo, naborano lice s opuštenom kožom; ogromne, spuštene uši; i tople, duboko usađene oči koje upotpunjuju izraz ozbiljnog dostojanstva. 
Boje dlake mogu biti crna i žutosmeđa, žutosmeđa i žutosmeđa ili crvena. 
Snažne noge omogućuju krvosljednicima da nanjuše trag preko kilometara teškog terena. 
Kao psi čopora, krvosljednici uživaju u društvu, uključujući druge pse i djecu. 
Opušteni su, ali njihov nos ih ponekad može dovesti u nevolje. Preporučuju se snažna uzica i duge šetnje na mjestima gdje mogu uživati ​​u njuškanju. 
Krvosljednici su slinavi, a obuka poslušnosti za ove osjetljive detektive može biti izazov. 
Svjetski poznati ""krvosljednik"" radi jednu stvar bolje od bilo kojeg stvorenja na zemlji: pronalazi ljude koji su izgubljeni ili se skrivaju. 
Krvosljednik izvan dužnosti je među najposlušnijim građanima psećeg kraljevstva, ali je neumoljiv i tvrdoglav u njuhu.";Prijateljski nastrojen, neovisan, radoznao;58,42;68,58;26,59;49,89;10;12;Tjedno četkanje;Seasonal;Redovito vježbanje;Nezavisan;Na oprezu / Responzivan;
43;Gonič rakuna s plavim oznakama;Bluetick Coonhound;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BluetickCoonhound.jpg/640px-BluetickCoonhound.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/BluetickCoonhound2.jpg/640px-BluetickCoonhound2.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Bluetick_Coonhound-9-Ch-CCH-Cedar_Creek_Fleurdelis_Howlinforyou_07_%2815962789924%29.jpg/640px-Bluetick_Coonhound-9-Ch-CCH-Cedar_Creek_Fleurdelis_Howlinforyou_07_%2815962789924%29.jpg;Hound group;"Goniči rakuna s plavim oznakama su brzi i kompaktni noćni lovci, nazvani po pjegavom (ili ""kvarkastom"") crno-plavom uzorku sjajne dlake. 
Veliki mužjak može narasti do 73 cm i 36 kg; ženke su manje. 
Goniči rakuna s plavim oznakama su mišićavi, ali elegantni i živahni, nikada zdepasti ili nespretni. 
Zavijanje, rikanje i reski lavež goniča rakuna s plavim oznakama nekima može biti kakofonično, ali za lovce na rakune to je glazba noći. 
Šarm ovih goniča spuštenih ušiju je neodoljiv. Žude za ljubavlju i duboko su odani onima koji je pružaju. Goniči rakuna s plavim oznakama imaju ogroman nagon za plijenom. Zanemareni, nedovoljno zaposleni bez ikakvog oduška za svoje ukorijenjene impulse mogu razviti problematično ponašanje, poput pjevanja serenada susjedima glasnom, tužnom ""glazbom"". 
Elegantno lijepi ovaj pas je slatki i privrženi šarmer koji možda uživa drijemati u hladu, ali u potrazi za plijenom je neumoljiv, hrabar i odlučan. 
Njegov nekonvencionalni nagon za plijenom mora biti kanaliziran.";Pametan, predan, uporan;53,34;68,58;20,41;36,29;11;12;Tjedno četkanje;Seasonal;Redovito vježbanje;Ugodan/Agreeable;Prijateljsko;
44;Borboel;Borboel;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Boerboel.jpg/1014px-Boerboel.jpg?20060318173603;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Themba_Boerboel.jpg/1200px-Themba_Boerboel.jpg?20100109135141;https://upload.wikimedia.org/wikipedia/commons/5/5e/Black_Boerboel.jpg?20201008121050;Working group;"Ovaj osvetnik elegantne dlake, koji može narasti do 67 centimetara u ramenima i težiti koliko i čovjek, posjeduje jednostavnu i praktičnu kvalitetu. 
Široka i čvrsta glava, snažne čeljusti i debeli mišići od vrata do stražnjice označavaju ga kao potomka drevne obitelji pasa ""molloser"", temelja današnjih pasmina tipa mastifa. 
U pokretu, boerboel je vjerojatno najagilniji od svih vrsta mastifa. 
Impozantni boerboel posvećen je zaštiti ljudi i mjesta koja voli. 
Dresura i socijalizacija trebaju započeti rano, prije nego što štene postane dominantni odrasli pas. Ovo je pasmina koja se lako dresira i svestrana je, željna provoditi vrijeme sa svojim obožavanim ljudima. Ipak, boerboel bi mogao biti previše zahtjevan pas za početnika. 
Boerboeli su zastrašujući, ali pronicljivi čuvari doma i obitelji koji su svoj zanat naučili štiteći udaljena južnoafrička imanja od žestokih predatora. 
Dominantni su i samouvjereni, a također bistri i željni učenja.";Samouvjereni, inteligentni, smireni;55,88;68,58;68,04;90,72;9;11;Povremeno kupanje i četkanje;Occasional;Miran;Ugodan/Agreeable;Rezerviran s nepoznatima;
45;Boemski ovčar;Bohemian Shepherd;https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/OREADY_KROSANDRA_%2814%29.JPG/1200px-OREADY_KROSANDRA_%2814%29.JPG?20140204114133;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Bohemian_Shepherd_Chodsky_4.jpg/1028px-Bohemian_Shepherd_Chodsky_4.jpg?20200915135451;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Bohemian_Shepherd_Chodsky_2.jpg/975px-Bohemian_Shepherd_Chodsky_2.jpg?20200915135448;Foundation Stock Service;"Bohemski ovčar je inteligentna, živahna, brza i atletska pasmina koja s oduševljenjem prihvaća većinu aktivnosti, što je čini prilično svestranom. Uspješni su u mnogim područjima kao što su agility, ples sa psima, čuvanje, traganje i spašavanje, rad s nosom, praćenje tragova, pastirski rad, poslušnost, terapijski psi, psi pomagači, a sada se probijaju i u područja utrka, ronjenja na doku i testova izdržljivosti. 
Bohemski ovčar je izvrstan obiteljski pas zbog svoje odanosti članovima obitelji i obožavanja djece. Ovo je pasmina koja voli biti sa svojom obitelji i dobro se slaže s drugim neljudskim članovima obitelji kada odrasta s njima. 
Bohemski ovčar je inteligentna, živahna, brza i atletska pasmina koja s oduševljenjem prihvaća većinu aktivnosti, što je čini prilično svestranom.";Prijateljski raspoložen, odan, oprezan i inteligentan;49,02;55,12;16,78;27,22;12;15;Povremeno kupanje i četkanje;Occasional;Redovito vježbanje;Lak za treniranje;Na oprezu / Responzivan;
46;Bolonjac;Bolognese;https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bolognese_Image_2.jpg/640px-Bolognese_Image_2.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Bolognese_Image.jpg/640px-Bolognese_Image.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Bolognese_puppy.jpg/640px-Bolognese_puppy.jpg;Foundation Stock Service;"Bolonjez je malen, zdepast i četvrtaste građe. 
Prilično je smiren i neaktivan, te odan svom vlasniku i njegovim ljudima. 
Mogu biti sramežljivi prema strancima, ali se brzo naviknu na njih ako se pravilno socijaliziraju. 
Skloni su separacijskoj anksioznosti, pa se ne snalaze dobro sami dulje vrijeme. Ne bi bili prikladni za ljude s radnim danom od 9 do 17 sati. 
Bolonjez je stara pasmina, poznata među kraljevskim obiteljima i plemićima u rimsko doba, a darivali su ih bogati i moćni kao dragocjeni darovi. 
Mala pasmina za pratnju podrijetlom iz Italije, bolonjez je miran, vjeran pas s dugom, pahuljastom čisto bijelom dlakom. 
Vrlo su razigrani, opušteni i vole ljude.";Zaigran, ležeran, predan;25,4;30,48;2,49;4,08;12;14;Četkanje 2-3 puta tjedno;Infrequent;Miran;Ugodan/Agreeable;Prijateljsko;
47;Graničarski koli;Border Collie;https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Border_collie_sitting_on_the_grass.jpg/640px-Border_collie_sitting_on_the_grass.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/New_Zealand_Border_Collie.jpg/640px-New_Zealand_Border_Collie.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Border_collie_blue_merle%2C_lateral_view.jpg/640px-Border_collie_blue_merle%2C_lateral_view.jpg;Herding group;"Border collie su atletski građeni, srednje veliki pastiri, visoki od 45 do 55 centimetara u ramenima. Sveukupni izgled je onaj mišićavog, ali okretnog radnika kojeg ne iskvari prolazni trendovi. 
I gruba i glatka dlaka dolaze u raznim bojama i uzorcima. 
Bademaste oči su središte inteligentnog izraza - intenzivan pogled, poznato ""pastirsko oko"" Border colliea, zaštitni je znak pasmine. 
U pokretu, Border collie je među najagilnijim, najuravnoteženijim i najizdržljivijim građanima psećeg carstva. 
Inteligencija, atletičnost i sposobnost treniranja Border colliea savršeno se primjenjuju u agility treningu. 
Imati posao koji treba obaviti, poput agilityja - ili čuvanja stoke ili poslušnosti - ključ je sreće Border colliea. 
Ljubazni među prijateljima, mogu biti rezervirani prema strancima. 
Izvanredno bistar radoholičar, Border collie je nevjerojatan pas - možda malo previše nevjerojatan za vlasnike bez vremena, energije ili sredstava da ga zaokupe. Ovi energični psi će se smiriti za vrijeme maženja kada radni dan završi.";Ljubazni, pametni, energični;45,72;55,88;13,61;24,95;12;15;Četkanje 2-3 puta tjedno;Seasonal;Treba puno aktivnosti;Željan udovoljiti;Rezerviran s nepoznatima;
48;Graničarski terijer;Border Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Cute-puppy-dog-13626627873wL.jpg/640px-Cute-puppy-dog-13626627873wL.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Border_Terrier_Agility_Jump.jpg/640px-Border_Terrier_Agility_Jump.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Border_Terrier_brothers.jpg/640px-Border_Terrier_brothers.jpg;Terrier group;"Border terijeri, visoki od 28 do 40 cm u ramenima, lako se prepoznaju među ostalim malim terijerima po jedinstvenom obliku glave - pasmina ima ""vidrinu glavu"", kako kažu uzgajivači. Još jedna karakteristična osobina je da su im noge duže od ostalih malih terijera. 
Žičana dlaka može biti sivo-smeđa, plavo-smeđa, pšenična ili crvena. 
Border terijeri se opisuju kao ""tvrdi kao čavli"" kada rade, ali kod kuće su dobre naravi, privrženi i lako se dresiraju. 
Border terijeri vole istraživati ​​​​prirodu i izvrsni su prijatelji za igru ​​u djetinjstvu. 
Uzgajani da budu seoski psi, Border terijeri se dobro prilagođavaju gradskom životu - sve dok se dovoljno kreću. 
Border terijeri se obično slažu s drugim psima, ali njihovi lovački instinkti mogu se probuditi kada im mačke ili vjeverice pređu put. 
Štovatelji veselih i okretnih Border terijera njeguju reputaciju njihove pasmine kao žilavog, jednostavnog radnog terijera. 
Ovi hrabri, sretni i privrženi psi popularni su kućni ljubimci u gradu i na selu. Žičana dlaka je jednostavna za čuvanje.";Ljubazan, sretan, odvažan.;30,48;38,1;5,22;7,03;12;15;Tjedno četkanje;Occasional;Redovito vježbanje;Lak za treniranje;p;
49;Borzoi ;Borzoi ;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Borzoi_%28915531525%29.jpg/640px-Borzoi_%28915531525%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Borzoi_black_female.png/640px-Borzoi_black_female.png;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/BARZOI_Femelle_1_an_IMG_3927.jpg/640px-BARZOI_Femelle_1_an_IMG_3927.jpg;Hound Group;"Borzoj je veliki, elegantni hrt. Zreli mužjak visok je najmanje 72 cm u ramenima i težak je od 34 do 47 kg. Ženke će biti manje. 
Ispod luksuzne svilenkaste dlake, građa Borzoja slijedi drevni predložak hrta. 
Nekada poznati kao ruski vučji hrt, borzoj je uzgajan da bude dovoljno brz i izdržljiv da progoni i uhvati svoj divlji vučji plijen. 
Na svoj tihi, mačji način mogu biti tvrdoglavi, a dresura se najbolje postiže strpljenjem, dosljednošću i dobrim humorom. 
Privrženi obiteljski pas, borzoj je ipak malo previše dostojanstven da bi svim srcem uživali u grubosti. 
Pogled na mačku ili vjevericu u bijegu brzo će potaknuti njihov instinkt potjere, a ograđeni prostor za trčanje je obavezan. 
Među najimpresivnijim i najljepšim od svih pasa, aristokratski borzoj je cijenjen zbog svog mirnog, ugodnog temperamenta. 
U punom trku, on je kneževski paket snage, gracioznosti i glamura koji leti brzinom od 56 do 64 kilometra na sat.";privržen, odan, kraljevski dostojanstven;66,04;71,12;27,21;47,63;9;14;Tjedno četkanje;Seasonal;Energetičan;Nezavisan;Na oprezu / Responzivan;
50;Bostonski terijer;Boston Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Boston-terrier-darwin.jpg/640px-Boston-terrier-darwin.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Boston_Terrier_Fond_Blanc.jpg/640px-Boston_Terrier_Fond_Blanc.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Boston_Terrier_Dog_002.jpg/640px-Boston_Terrier_Dog_002.jpg;Non-Sporting Group;"Bostonski terijeri su kompaktni, kratkorepi, dobro uravnoteženi mali psi težine ne više od 11 kilograma. 
Elegantna ""smoking"" dlaka može biti bijela i crna, tigrasta ili tamnoplava (crna s crvenim odsjajem kada se gleda na suncu ili jakom svjetlu). 
Glava je četvrtasta, njuška kratka, a velike, okrugle oči mogu sjati od ljubaznosti, znatiželje ili nestašluka. 
Uvijek budni na svoju okolinu, bostonski terijeri kreću se veselim, ritmičnim korakom. 
Sigurno je da će pasmina nazvana po gradu - havanski terijer ili briselski grifon, na primjer - biti izvrstan gradski ljubimac. Bostonski terijeri nisu iznimka: čvrsti su, ali prenosivi, orijentirani na ljude i uvijek spremni za brzu šetnju do parka ili vanjskog kafića. Veseo pas s prirodnim darom za komediju, elegantni bostonski terijer stalan je izvor osmijeha. 
Bostonski terijer je živahan mali pratitelj prepoznatljiv po uskoj smoking jakni, sportskom, ali kompaktnom tijelu i prijateljskom sjaju u velikim, okruglim očima. Njegovi besprijekorni maniri zaradili su mu nadimak ""Američki džentlmen"".";prijateljski, bistar, zabavan;38,1;43,18;5,44;11,34;11;13;Tjedno četkanje;Infrequent;Redovito vježbanje;Željan udovoljiti;Otvoreno;
51;Flandrijski buvijer;Bouvier des Flandres;https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Bouvier_des_Flandres-Head.jpg/640px-Bouvier_des_Flandres-Head.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bouvier_des_Flandres.jpg/640px-Bouvier_des_Flandres.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Bouvier2.JPG/640px-Bouvier2.JPG;Herding Group;"Visok i do 73 cm, s teškim kostima i snažnim mišićima ispod vodootporne dlake, te impresivnom glavom naglašenom bradom i brkovima, bouvieri mogu učiniti sve što treba raditi u dvorištu ili na pašnjaku, osim musti krave. 
Ipak, bouvieri su više od obične poljoprivredne opreme. Njihov izvrstan karakter, ogromno srce i oštra inteligencija čine ih dragima ljubiteljima pasa diljem svijeta. Radna etika bouviera mora se udovoljiti, a srećom, svestranost pasmine omogućuje im obavljanje brojnih zadataka. Bouvieri su izvrsni čuvari i stražari te željni sudionici u psećim sportovima, posebno natjecanjima u pastirskim sportovima. 
Ovi psi snažne volje najbolje se snalaze s vlasnicima koji mogu posvetiti dovoljno vremena i prostora vrhunskom radnom psu. Starinski je tip pasmine. Snažan i bačvastih prsa, pas Flandrije s razbarušenom dlakom potječe iz vremena i mjesta kada je pas morao raditi kao... pa, pas. Ovi pametni i stabilni svestrani radnici izvrsni su čuvari.";privržrn, hrabar, snažne volje;59,69;69,85;31,75;49,89;10;12;Dnevno četkanje;Seasonal;Energetičan;Ugodan/Agreeable;Na oprezu / Responzivan;
52;Bokser;Boxer;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Boxer_%28dog%29.jpg/640px-Boxer_%28dog%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Boxer_%28dog%29_In_Iran%2C_Mostafa_Meraji_Canon_Photo.jpg/640px-Boxer_%28dog%29_In_Iran%2C_Mostafa_Meraji_Canon_Photo.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/White_Boxer_%28dog%29_1.jpg/640px-White_Boxer_%28dog%29_1.jpg;Working Group;"Dobro građen bokser u vrhunskoj formi je fantastičan prizor. Mužjak može narasti do 60 centimetara u ramenima; ženke su manje. Njihovi mišići se napinju ispod kratke, uske dlake. 
Tamnosmeđe oči i naborano čelo daju licu budan, znatiželjan izgled. 
Dlaka može biti žućkastosmeđa ili tigrasta, s bijelim oznakama. 
Bokseri se kreću poput sportaša po kojima su i dobili ime: glatko i graciozno, sa snažnim zamahom prema naprijed. 
Bokseri su optimistični i razigrani. Njihovo strpljenje i zaštitnička priroda zaradili su im reputaciju izvrsnog psa s djecom. Ozbiljno shvaćaju posao čuvara i obiteljskog čuvara i neustrašivo će se suočiti s prijetnjama. 
Bokseri se najbolje snalaze kada su izloženi puno ljudi i drugih životinja u ranoj štenećoj dobi. 
Odanost, privrženost, inteligencija, radna etika i dobar izgled: Bokseri su cijeli pseći paket. Bistar i budan, ponekad glup, ali uvijek hrabar, bokser je već dugo među najpopularnijim pasminama pasa u Americi.";bistar, voli zabavu, aktivan;54,61;63,5;26,8;36,58;10;12;Tjedno četkanje;Occasional;Energetičan;Lak za treniranje;Otvoreno;
53;Španijel Bojkin;Boykin Spaniel;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Boykin_Spaniel_April_Jet.jpg/640px-Boykin_Spaniel_April_Jet.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/BoykinSpaniel2.jpg/640px-BoykinSpaniel2.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gizi.JPG/640px-Gizi.JPG;Sporting group;"Boykin španijeli su srednje veličine, veći i divljiji od koker španijela, ali kompaktniji od springera. 
Obilježje pasmine je prekrasna jednobojna smeđa dlaka. Boje se kreću od bogate jetrene do raskošne čokoladne. 
Velike, pernate uši vise blizu obraza, ističući izraz duhovne inteligencije. 
Uzgojeni za rad u jezerima i močvarama svoje rodne Južne Karoline, Boykin španijeli s plivaćim prstima mogu plivati ​​poput tuljana. 
Godinama su Boykin španijeli bili poznati samo lovcima na močvarne ptice i divlje purane u Karolini. No, nedavno je širi svijet otkrio da je Boykin španijel jednako divan kod kuće koliko i željan jezera. „To su vrlo, vrlo slatki psi za imati u blizini obitelji“, kaže dugogodišnji vlasnik, „ali pravi tigar na polju.“ 
Srednje veliki pas koji i aportira, poznat po svojoj bogatoj smeđoj dlaci, Boykin španijel je strastven, željan, veseo i lako se dresira. Ovaj blagi kućni pas i uporan pas za ptice nekoć je bio najbolje čuvana tajna Južne Karoline.";prijateljski, nestrpljiv, ljubak ;35,56;45,72;11,34;18,14;10;15;Četkanje 2-3 puta tjedno;Seasonal;Redovito vježbanje;Željan udovoljiti;Na oprezu / Responzivan;
